"amount","denom","address"
"1_000__000_000","upenumbra","penumbrav1t15gy6aas5wldfjayru943jkw2k9snklzzvypn98saqpk3a54hz8tpjvn90u5ch2mv7y6vnuzqqzkwlj0jz8jks0nfyng335n8flwk4w38p36j038ezzv9vdej58kw5a46k02eff"
"100","gm","penumbrav1t15gy6aas5wldfjayru943jkw2k9snklzzvypn98saqpk3a54hz8tpjvn90u5ch2mv7y6vnuzqqzkwlj0jz8jks0nfyng335n8flwk4w38p36j038ezzv9vdej58kw5a46k02eff"
"100","cube","penumbrav1t15gy6aas5wldfjayru943jkw2k9snklzzvypn98saqpk3a54hz8tpjvn90u5ch2mv7y6vnuzqqzkwlj0jz8jks0nfyng335n8flwk4w38p36j038ezzv9vdej58kw5a46k02eff"
"200","pizza","penumbrav1t15gy6aas5wldfjayru943jkw2k9snklzzvypn98saqpk3a54hz8tpjvn90u5ch2mv7y6vnuzqqzkwlj0jz8jks0nfyng335n8flwk4w38p36j038ezzv9vdej58kw5a46k02eff"
"1_000__000_000","upenumbra","penumbrav1t15kxw8uwykhvu2mm7vuleszguwd676fyr6n2s262uphz36a3f0tmf2xnkzpaqtt3d05kwrtz0wtq4f8hxhmq00zlqhwu4mudhtv67mvxv82zx5fqekd3xtyurxuffw9tzk7yq66"
"100","gm","penumbrav1t15kxw8uwykhvu2mm7vuleszguwd676fyr6n2s262uphz36a3f0tmf2xnkzpaqtt3d05kwrtz0wtq4f8hxhmq00zlqhwu4mudhtv67mvxv82zx5fqekd3xtyurxuffw9tzk7yq66"
"100","cube","penumbrav1t15kxw8uwykhvu2mm7vuleszguwd676fyr6n2s262uphz36a3f0tmf2xnkzpaqtt3d05kwrtz0wtq4f8hxhmq00zlqhwu4mudhtv67mvxv82zx5fqekd3xtyurxuffw9tzk7yq66"
"200","pizza","penumbrav1t15kxw8uwykhvu2mm7vuleszguwd676fyr6n2s262uphz36a3f0tmf2xnkzpaqtt3d05kwrtz0wtq4f8hxhmq00zlqhwu4mudhtv67mvxv82zx5fqekd3xtyurxuffw9tzk7yq66"
"1_000__000_000","upenumbra","penumbrav1t15kyahhtl34yss77xd7h0d7qqhtum0tmu74she0jev7yu39jjxpmg4zjy5td2r4xdfv5w3f0z9uac9ueenjyf0wgw3l8hsz30fh3uztq5p5r6fnhssc9aq7kwhtpuvcs72sn9u8"
"100","gm","penumbrav1t15kyahhtl34yss77xd7h0d7qqhtum0tmu74she0jev7yu39jjxpmg4zjy5td2r4xdfv5w3f0z9uac9ueenjyf0wgw3l8hsz30fh3uztq5p5r6fnhssc9aq7kwhtpuvcs72sn9u8"
"100","cube","penumbrav1t15kyahhtl34yss77xd7h0d7qqhtum0tmu74she0jev7yu39jjxpmg4zjy5td2r4xdfv5w3f0z9uac9ueenjyf0wgw3l8hsz30fh3uztq5p5r6fnhssc9aq7kwhtpuvcs72sn9u8"
"200","pizza","penumbrav1t15kyahhtl34yss77xd7h0d7qqhtum0tmu74she0jev7yu39jjxpmg4zjy5td2r4xdfv5w3f0z9uac9ueenjyf0wgw3l8hsz30fh3uztq5p5r6fnhssc9aq7kwhtpuvcs72sn9u8"
"1_000__000_000","upenumbra","penumbrav1t15lm8ujhpuqgg5lr4m37t9pcneqs0aqhrzvy93kcegfrn365a6r9hq0nv0uhxnmrcn5mfq3hgzmsgsz7pj6wg2fuedaad0su7vyhtdszng2myq89rntune4tvrwfdc0rl30yr96"
"100","gm","penumbrav1t15lm8ujhpuqgg5lr4m37t9pcneqs0aqhrzvy93kcegfrn365a6r9hq0nv0uhxnmrcn5mfq3hgzmsgsz7pj6wg2fuedaad0su7vyhtdszng2myq89rntune4tvrwfdc0rl30yr96"
"100","cube","penumbrav1t15lm8ujhpuqgg5lr4m37t9pcneqs0aqhrzvy93kcegfrn365a6r9hq0nv0uhxnmrcn5mfq3hgzmsgsz7pj6wg2fuedaad0su7vyhtdszng2myq89rntune4tvrwfdc0rl30yr96"
"200","pizza","penumbrav1t15lm8ujhpuqgg5lr4m37t9pcneqs0aqhrzvy93kcegfrn365a6r9hq0nv0uhxnmrcn5mfq3hgzmsgsz7pj6wg2fuedaad0su7vyhtdszng2myq89rntune4tvrwfdc0rl30yr96"
"1_000__000_000","upenumbra","penumbrav1t15m0a8wnmva2yg6dp50v8x8jh9eqg7zy65dhac2n43w6camm8yp4gmqj7zcgd5sh765jh5m8al64d4xx8fcn96jwupp8y4ztfymzvp6au98zd5j709pmy555ydepp0r4dzcpjmh"
"100","gm","penumbrav1t15m0a8wnmva2yg6dp50v8x8jh9eqg7zy65dhac2n43w6camm8yp4gmqj7zcgd5sh765jh5m8al64d4xx8fcn96jwupp8y4ztfymzvp6au98zd5j709pmy555ydepp0r4dzcpjmh"
"100","cube","penumbrav1t15m0a8wnmva2yg6dp50v8x8jh9eqg7zy65dhac2n43w6camm8yp4gmqj7zcgd5sh765jh5m8al64d4xx8fcn96jwupp8y4ztfymzvp6au98zd5j709pmy555ydepp0r4dzcpjmh"
"200","pizza","penumbrav1t15m0a8wnmva2yg6dp50v8x8jh9eqg7zy65dhac2n43w6camm8yp4gmqj7zcgd5sh765jh5m8al64d4xx8fcn96jwupp8y4ztfymzvp6au98zd5j709pmy555ydepp0r4dzcpjmh"
