"amount","denom","address"
"1_000__000_000","upenumbra","penumbrav2t1gzja85hgz0ywaq2fn7l6jwfzdslcm4k4u0c4jul8hpd745hcmc8h8zal7etlyrywrvkqwfxeleq99pgw83h8e0w3dt3numqfhgs93txqn6h0g9p8fp5n2wwuhg5uq2rpe8ulm0"
"1_000__000_000","upenumbra","penumbrav2t1h8m83dpmf67s6pxhlmt44th229q85v6cns8za48sd34smjws9rt4s2zckxrsep7guvveat0rcvsxqsuq5hdhrud3728un7jsqqd35wwhah04anc4ez6cqrmgxacj85exshm8mn"
"1_000__000_000","upenumbra","penumbrav2t1hkhk5f500qvj6r0526rrcjw6qa5yjed5q3dn86dsq9pnujhjv2hnnwh7cplz87ckpeh035dl540c6autae0de8xxylxyktjgk5lylrfppkd4f3a9gm0wqq0w4hagf9u5acyn3f"
"1_000__000_000","upenumbra","penumbrav2t1hum845ches70c8kp8zfx7nerjwfe653hxsrpgwepwtspcp4jy6ytnxhe5kwn56sku684x6zzqcwp5ycrkee5mmg9kdl3jkr5lqn2xq3kqxvp4d7gwqdue5jznk2ter2t66mk4n"
"1_000__000_000","upenumbra","penumbrav2t1hwa5tl9xl2z9uwkqy0z0e6mj3lga736gtvtral4tjjdcn0xnzd5f7g0ds8h9v57utuygkaphf7ly6f45he4rs42y3zpwpxxhujaz9vx9gw4j3j8relrtls24wfl26wm4c25yky"
"1_000__000_000","upenumbra","penumbrav2t1j6x6gatr0u0k2qqv0wanzptvugsjrtrq0zpylncrzka25klgkzgjq9maf9nxpdwlztnjkaf5jw592d9gamedve47qht3v6rpnzxnrqytza6rlgjjteamv2kyghfgy5mwuepad4"
"1_000__000_000","upenumbra","penumbrav2t1jkjhqpv0m37tru43n4f5wnravgtdnf4xyxy6z9rutz3cgcfqas0jsh7l9hhe2qmk0m7hrlxfw7hv9zu2wha0qyncwcnzq5fn3rm3p2a26n4wv2htt6due7x6fdvnss00k34c5u"
"1_000__000_000","upenumbra","penumbrav2t1jl2um9zpl9csl73php43m8tyxu365gv4zw0uww4xjx4gcgeesghcpv6mcdhk9wjn0ss2j2ertg64hzvjrg36x9wqawpppqfzzdcn56cp9na9uqqgx88y833am7y3cru62j9t63"
"1_000__000_000","upenumbra","penumbrav2t1k9q8wmsnxqmkhzm36p669ls9cenjq38xg8lg6tvk6lvc0ehyj0hmwtdk4rkxvlrrpsuj7yshx2hglemp6ucdxk0w8uqel6ww3tyr4tycvzxrra3cd05j03eq89jfjaz74z98qx"
"1_000__000_000","upenumbra","penumbrav2t1l6awuqqsh9amhkehp2f5d82mp22zy0p98vuhhqwq0eerw3t9mf6fx6z86y5rg5226wycdmxfaa0mywrnyswmgqujqphjp8s64am287n9vjxkhgcklfvthgtuf23zkcyrnnzy3c"
"1_000__000_000","upenumbra","penumbrav2t1mnw06xh3h5lzy428uagvwfr089ymsxrwrnslf7p9ycf5msmgqpkq03weus45uwmakcvssdx2q20rpe3dymqymhuteq5z22qf7kyu7jm9n3eynys8y5j6fw827j0c3xk9p6wmfv"
"1_000__000_000","upenumbra","penumbrav2t1p6dypyl0cydwhxfz556xaanhnfz6ngr0g9tlv7vzft2mq0m5tjpl2k5j5hcz080dujx25xk9ggha56wvr6ltr0ln5y62aj0tetu5s2e60gvcenstrtyjrwkmjf80a9zmwnteyh"
"1_000__000_000","upenumbra","penumbrav2t1p6wy4vdq5yuasq8ljfkag4anjzfwk6cfawhjp4p6hml7kzvf75k2reregtquqspw526v9d24lrh0n5pq7jzt7wk3krs3jkkc22630fg5nwu9hfe2u8dr7fqxs0uxh5y2zuvpr9"
"1_000__000_000","upenumbra","penumbrav2t1pfc98r2tquk4q48cnmlaccnw3v0ztw8j9r9f887q5ljl7wx6nmkgzmlmtslmnetrsjd2mfyppauhrwk3yl6h8qav5evqmwl7n6penszj85qcptgrnc5q2rd8gxlpxkztcmyaek"
"1_000__000_000","upenumbra","penumbrav2t1pm87ue3ernldhe2v0586gg8lj0mmgzllh4yq7faspcue5fvg6jrc2x7svx6e90cza6lcxrtmla9r9xdlpjz6jn8t7fslext3sn252ccqwwygdhu0krgdd6wcwrkgg5dx6n5xhm"
"1_000__000_000","upenumbra","penumbrav2t1qu4jzpzj86n7l5fd43nrmadvkl60g38nefryz6xadwjz8mynejlza0ha6lqv0eq4hghuctvpm3qt7czezcfm7psvvnvstqcyeewr93zqzkr030h3u2f8968he5w9kvap33q0fp"
"1_000__000_000","upenumbra","penumbrav2t1qwfhn3wrfjz84n2cl8tll0vy33nq3g06rvkch3qzn4qzz8dxsjdqpknqw2ye9e2mm0y2ndygyl8qya39z6hxpw3vq99265uw4kqtasaw08fxpg3n7dwwftzhafxr0p7a79k8pm"
"1_000__000_000","upenumbra","penumbrav2t1tnqn0sau9pwty0nf5zhurm6sqctlccxudme2qf86q9p5vrd9cvglcvjrtvqk33zg2e875umzmmhv9jcaflcgpqzft8pdmxm64xjfwj63frc99kwtg8z0e0jplkmlmnt57zvdpn"
"1_000__000_000","upenumbra","penumbrav2t1w6em8sdx0467ug9kk0s0sng254tqjfk9gglv6ff7dq2v8arwekevkjte9udzmsj9l83mz74747tj0a49w2vhecxj7ac4upr5c5pvjqhsy7dwn422m8dgdekt7y4lmad0fg04dr"
"1_000__000_000","upenumbra","penumbrav2t1wa8mw36nl96msw3axmq5zzk2x3qj2enwsvf8uhca2236dyml73a7e3d3my3eze4ns2v2gnfnllkap2yjjr0srlv63ua38gkrp744fnk0d7sxru3n3s2zdqdlkp2kf6nur520r4"
"1_000__000_000","upenumbra","penumbrav2t1we58r3vctgvlclap5j2yk4g5daf8c2q75lqfttye4l9q84dewfldm8xp9sta0p77jt4pdytpuyhaegxf9lwtkzqnutg9kvy2hrv9e0774k83wn5zttd5ucdv54lwccmr6gawd8"
"1_000__000_000","upenumbra","penumbrav2t1x2gsgq99zdmfwy07avrmen726cw4ztqs0wws4nmhj0fqnvtq4lzdswvhcus3qzlxclcndem0uj5dd0wqsdvumnz5tx43axcyg0tamt3pmc3yuxc24r9zz8sk76yuf3vklsf33p"
"1_000__000_000","upenumbra","penumbrav2t1x3tza53mdexkwc5eqlnamwqurf4gl2dhykkyf5dt4j5c6gedre9n30qzg5jst7vxry95mnh5407rag0ghqkhncuxt4gw8gjmpams7g8x5uashfcdmsek0d4hyxtlth8dxh2yf7"
"1_000__000_000","upenumbra","penumbrav2t1xfk89utzjsxh22lf70k7gg6yf0mawll8zev8pu9ydkyv8f9mz79m87k3heqvmq9v5h4fl9484r9cte7uqftd4mh7llw0lnp8suzqrl08ard894nzw2wm8a9xxer0s7urpqejfp"
"1_000__000_000","upenumbra","penumbrav2t1xwlnkrrxagw9v38g3axnlse5pf0q0h2gqmnv97qrrxdkhuchl075r7lhlkgd7zzy7nh6nj5cu6qymc6ns0nf2rq03mps0yurc4yqzepr0639cafq4ycwlugprp2h7t638l39lf"
"1_000__000_000","upenumbra","penumbrav2t1yamv3ht64np8hn0e2e6zsnt094kkepm9p97c0w34udsr3j2mmhdwwrajcrcsekehplh2zcpunvkkf2dmm8p6unl22fcffnw6qk3a278s3gkcacxyjyf2s36ykrlsjwjjm9d8t8"
"1_000__000_000","upenumbra","penumbrav2t1ywj5hh2y0uxwqcecclh9g5n66fwr77gvz5mphggt3sm7y8xhuqjnqpckmmhvgj0fer8g9rfqffxxgx9jh6t5arrjtztag5xd2sm5h2rsjaxxa6djzhuz66pgaqp970nwjfsumx"
"1_000__000_000","upenumbra","penumbrav2t1zhfadghkkcx6nmte4hcq2990msg8w6dpgx9tlcvuguav8mj6awcfympecx5rspmaq9jgv2vrmlfzuu082ne9a6mpuhrnmyrurghxr7g0d0feyjdx2n6re2eh3n79a4775jku62"
"1_000__000_000","upenumbra","penumbrav2t1zzjjp4xkvjpklyykph8n2lyjf23vex944zt40tlftuguwyduzztn5aldqjyc3zm6n2hqhyz78pc8kqyzl2g76lh56hdahr0e7xh5cw7zjaq9hv3gt4tuyqqztt754ja2ely2zg"
